OID_,FID_GAR_buf120_0,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_BLDG_ply,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.326796029663306,36.038078966827584
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.152372507712570,106.546471645377139
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,316,0378,SSPG,No,GARAGE,0378,SSPG,South Side Parking Garage,1990,04,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,553.269233016415569,14543.691412792895790
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.657592586517040,37.546402861319265
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,803,0291,RUDD,No,HOUSING TAMU,0291,RUDD,Rudder Residence Hall,1989,04,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,41.085024850821696,57.895194145649093
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,120.000000000000000,829,0292,EPPR,No,HOUSING TAMU,0292,EPPR,Eppright Residence Hall,1989,04,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,170.295871224738988,897.369127501836942
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,458.989615080331305,4080.615498267426119
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,212,0357,,No,UNIVERSITY,0357,,Vending Machine Booth,1999,01,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,31.084954464558805,54.451907776893499
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,428,0469,CCPG,No,GARAGE,0469,CCPG,Central Campus Parking Garage,1999,08,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,225.223941799298444,2792.717644242938604
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,680,0517,CSA,No,ACADEMIC,0517,CSA,Computing Services Annex,1966,05,733 Lamar St,College Station,77843,Computing Services Annex | CSA | 0517,27.331313274040330,24.569510386891388
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,681,0470,GLAS,No,ACADEMIC,0470,GLAS,Melbern G. Glasscock Building,1921,04,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,97.088793693365744,554.232868735531952
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,683,0472,AIEN,No,ACADEMIC,0472,AIEN,AI Engineering Building,1932,06,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,240.519801974896041,1471.714001424683374
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,688,0516,CSC,No,ACADEMIC,0516,CSC,Computing Services Center,1959,03,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,194.578534728477877,2093.775049596326426
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,120.000000000000000,694,0471,PAV,No,ACADEMIC,0471,PAV,Pavilion,1916,02,424 Spence St,College Station,77843,Pavilion | PAV | 0471,184.005770012222740,1881.498376552994614
